RedFighter,BlueFighter,Winner,Date,Red_Striking_Score,Red_Grappling_Score,Red_Experience_Score,Red_Physicality_Score,Red_Age,Blue_Striking_Score,Blue_Grappling_Score,Blue_Experience_Score,Blue_Physicality_Score,Blue_Age,Experience_Difference,Striking_Difference,Grappling_Difference,Physicality_Difference,age_Difference
Eric Schafer,Jason Brilz,0,2010-03-21,8.450833333333332,3.7140000000000004,4.916666666666667,1.3298248971053725,47.0,13.0755,3.7325,5.951724137931035,1.0296882787885993,49.0,1.035057471264368,4.624666666666668,0.018499999999999517,0.3001366183167733,2.0
Brandon Vera,Jon Jones,0,2010-03-21,19.276000000000003,1.0385,4.536363636363637,1.4744445659923804,47.0,8.844236842105262,2.645131578947369,5.792857142857144,1.7667486704863984,37.0,1.2564935064935066,10.431763157894741,1.6066315789473689,0.292304104494018,10.0
Junior Dos Santos,Gabriel Gonzaga,1,2010-03-21,16.590473684210526,0.556,6.14,1.4824668470187907,41.0,12.7645,4.066166666666667,5.7214285714285715,1.3810734738513455,45.0,0.41857142857142815,3.825973684210526,3.5101666666666667,0.10139337316744523,4.0
Cheick Kongo,Paul Buentello,1,2010-03-21,17.500166666666665,2.636,7.93846153846154,1.677791380594219,49.0,25.416,0.6785,10.534615384615385,1.4240436981635671,51.0,2.596153846153846,7.915833333333335,1.9575,0.25374768243065193,2.0
Alessio Sakara,James Irvin,1,2010-03-21,5.7525,2.359,6.126666666666667,1.0725304673971499,43.0,0.07699999999999996,0.661,5.525925925925926,1.2869827084968222,46.0,0.6007407407407408,5.6755,1.698,0.2144522410996723,3.0
Mike Pierce,Julio Paulino,1,2010-03-21,6.728,3.455666666666667,4.941666666666667,0.8735944651994384,44.0,0.08799999999999997,0.537,5.764285714285715,1.1083744338805288,49.0,0.8226190476190478,6.64,2.918666666666667,0.2347799686810904,5.0
Eliot Marshall,Vladimir Matyushenko,0,2010-03-21,8.611833333333333,1.4985,2.942857142857143,1.3639057854198993,44.0,17.075166666666664,3.5306666666666664,7.154285714285714,1.1795556527939044,54.0,4.211428571428571,8.463333333333331,2.0321666666666665,0.18435013262599487,10.0
Brendan Schaub,Chase Gormley,1,2010-03-21,10.5565,2.8859999999999997,3.1333333333333333,1.5314707538664845,41.0,25.145500000000002,4.183,4.14,1.4898523261777092,44.17465753424658,1.0066666666666664,14.589000000000002,1.2970000000000002,0.04161842768877522,3.1746575342465775
Clay Guida,Shannon Gugerty,1,2010-03-21,3.143777777777778,3.9343333333333335,11.928813559322034,0.7781067388637959,43.0,0.19550000000000006,5.8705,4.536363636363637,0.9200165531874032,43.0,7.392449922958397,2.9482777777777778,1.9361666666666664,0.14190981432360728,0.0
Duane Ludwig,Darren Elkins,0,2010-03-21,5.0376666666666665,0.6681666666666666,7.12,0.9040984439792795,46.0,5.695913793103449,4.084362068965517,7.943589743589745,0.9049654989505646,40.0,0.8235897435897446,0.6582471264367822,3.4161954022988508,0.0008670549712850306,6.0
John Howard,Daniel Roberts,1,2010-03-21,7.070181818181817,3.2265,7.5297297297297305,0.8775732450402871,41.0,3.5224285714285712,5.137428571428571,4.536363636363637,1.0579445978254332,44.0,2.9933660933660935,3.547753246753246,1.9109285714285709,0.18037135278514604,3.0
Rodney Wallace,Jared Hamman,0,2010-03-27,-0.07400000000000001,7.109,8.523809523809524,0.9991843000087581,43.0,9.197833333333334,1.7106666666666668,4.14,1.2913633586438342,42.0,4.383809523809524,9.271833333333333,5.398333333333333,0.2921790586350761,1.0
Rousimar Palhares,Tomasz Drwal,1,2010-03-27,9.697000000000001,8.2225,5.540740740740741,0.8735944651994384,44.0,0.6450000000000001,4.247,5.555555555555556,1.2909614883376705,43.0,0.014814814814815058,9.052000000000001,3.9755000000000003,0.41736702313823215,1.0
Ricardo Almeida,Matt Brown,1,2010-03-27,0.5145,5.1530000000000005,3.7444444444444445,1.1269101150668124,48.0,13.6945,3.172,9.115555555555556,1.1653716535283507,44.0,5.371111111111111,13.18,1.9810000000000003,0.038461538461538325,4.0
Nate Diaz,Rory Markham,1,2010-03-27,4.911666666666666,2.5054444444444446,7.1257142857142854,1.203833191989889,39.0,24.064,0.0,4.747826086956522,1.011525499682197,42.0,2.3778881987577636,19.152333333333335,2.5054444444444446,0.19230769230769207,3.0
Jim Miller,Mark Bocek,1,2010-03-27,5.027263157894737,3.564605263157895,10.735849056603776,0.8510510359460237,41.0,0.4129999999999999,5.070714285714286,3.5411764705882356,1.0048971897921775,43.0,7.194672586015541,4.614263157894737,1.506109022556391,0.15384615384615374,2.0
